movie;year;gross;director_likes;actor_likes;cast_likes;social_media;facenumber;imdb;budget
Avatar;2009;760505847;15000;27911;54834;10;2;8.9;237000000
Titanic;1997;658672302;20000;43794;45223;10;2;8.7;200000000
Jurassic World;2015;652177271;36000;6000;48458;10;0;7.5;150000000
The Avengers;2012;623279547;23000;66000;87697;10;3;8.1;220000000
The Avengers;2012;623279547;23000;66000;87697;10;3;8.1;220000000
The Dark Knight;2008;533316061;22000;47000;57802;10;1;9;185000000
Star Wars: Episode I - The Phantom Menace;1999;474544677;7000;35000;37723;10;1;6.5;115000000
Star Wars: Episode IV - A New Hope;1977;460935665;7000;12504;13485;8;1;8.7;110000000
Avengers: Age of Ultron;2015;458991599;23000;66000;92000;10;4;8.5;250000000
The Dark Knight Rises;2012;448130642;22000;73000;106759;10;1;8.5;250000000
Shrek 2;2004;436471036;8000;10419;41148;10;1;7.2;150000000
E.T. the Extra-Terrestrial;1982;434949459;14000;21134;42811;10;3;8.9;105000000
The Hunger Games: Catching Fire;2013;424645577;5080;48523;49355;10;1;8.6;130000000
Pirates of the Caribbean: Dead Man's Chest;2006;423032628;5630;46000;48486;10;2;8.3;225000000
The Lion King;1994;422783777;0;37313;46458;10;0;8.5;450000000
Toy Story 3;2010;414984497;12500;16721;19085;9;3;8.3;200000000
Iron Man 3;2013;408992272;1000;28000;30426;10;3;7.2;200000000
The Hunger Games;2012;407999255;3780;48575;49942;10;0;7.3;180000000
Captain America: Civil War;2016;407197282;9400;51000;64798;10;0;8.2;250000000
Spider-Man;2002;403706375;12000;39000;40484;10;0;8.3;139000000
Transformers: Revenge of the Fallen;2009;402076689;0;19319;43218;10;0;8.6;200000000
Frozen;2013;400736600;6900;20113;32582;10;0;7.6;150000000
Finding Nemo;2003;380838870;12000;27138;25641;10;0;8.2;140000000
Star Wars: Episode III - Revenge of the Sith;2005;380262555;47500;40000;44042;10;4;7.6;113000000
The Lord of the Rings: The Return of the King;2003;377019252;14000;62173;26434;10;2;8.9;140000000
Spider-Man 2;2004;373377893;12000;39000;43388;10;1;7.3;200000000
Despicable Me 2;2013;368049635;2750;10000;11905;7;0;7.5;160000000
Deadpool;2016;363024263;8400;17166;18239;9;0;8.1;158000000
The Jungle Book;2016;362645141;0;32591;32921;10;0;7.8;175000000
The Jungle Book;2016;362645141;0;32591;32921;10;0;7.8;175000000
Jurassic Park;1993;356784000;14000;17168;22129;9;0;8.1;163000000
Inside Out;2015;356454367;5000;21511;12944;9;1;8.3;175000000
Transformers: Dark of the Moon;2011;352358779;6000;12304;12593;8;2;6.3;195000000
American Sniper;2014;350123553;16000;15280;16277;9;0;7.3;158800000
Furious 7;2015;350034110;9000;63000;79150;10;0;7.2;190000000
The Lord of the Rings: The Two Towers;2002;340478898;47500;21857;23052;10;1;8.7;194000000
The Hunger Games: Mockingjay - Part 1;2014;337103873;5080;70000;81385;10;1;6.7;125000000
Spider-Man 3;2007;336530303;12000;39000;46055;10;0;8.2;258000000
Spider-Man 3;2007;336530303;12000;39000;46055;10;0;8.2;258000000
